Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"386776544757",Two Strand Blue & Red Stone + Yellow Bead Necklace + Faux Torquise Slab Pendant,,Two Strand Blue & Red Stone + Yellow Bead Necklace,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 15:09:15 PST","Aug-14-24 15:09:15 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776559634",Heavy & Chunky Brown And White Natural Genuine Stone Beaded Stretch Bracelet ,,Heavy & Chunky Brown And White Natural Genuine Sto,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 15:17:25 PST","Aug-14-24 15:17:25 PDT","Bracelets & Charms","261996","","","Pre-owned","","","","","","US","","",""
"386776588833",Genuine Lapis Lazuli + Pearl Natural Long Handmade Artisan Round Beaded Necklace,,Genuine Lapis Lazuli + Pearl Natural Long Handmade,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","2","","Feb-14-24 15:29:50 PST","Aug-14-24 15:29:50 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386776592927","Blue, Yellow Quartz & Metallic Round Beaded Fashion Bracelet + Heart Charm",,"Blue, Yellow Quartz & Metallic Round Beaded Fashio","1","FIXED_PRICE","USD",9.92,,,9.92,"0","","","","Feb-14-24 15:34:07 PST","Aug-14-24 15:34:07 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386776602709",Long Genuine Cream Color Shell Chip Beaded Fashion Handmade Artisan Necklace 17”,,Long Genuine Cream Color Shell Chip Beaded Fashion,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","0","","Feb-14-24 15:39:21 PST","Aug-14-24 15:39:21 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386776612602",Genuine Rainbow Color Multi Gemstone Round Beaded Handmade Fashion Braclet ,,Genuine Rainbow Color Multi Gemstone Round Beaded,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 15:43:09 PST","Aug-14-24 15:43:09 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777817956",Multi Color Genuine Gemstone & Glass Chip Beaded Handmade Fashion Necklace 8”in,,Multi Color Genuine Gemstone & Glass Chip Beaded H,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","1","","Feb-14-24 22:38:35 PST","Jul-14-24 22:38:35 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386777832395",Multicolor Assorted Gemstone Chunky Handmade Artisan Beaded Wrap ClipOn Bracelet,,Multicolor Assorted Gemstone Chunky Handmade Artis,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","1","","Feb-14-24 22:43:43 PST","Jul-14-24 22:43:43 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777853987",Artisan Handmade Pink Glass & White Ceramic Beaded Fashion Stretch Bracelet,,Artisan Handmade Pink Glass & White Ceramic Beaded,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-14-24 22:48:32 PST","Jul-14-24 22:48:32 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777857934",Chunky Thick & Heavy Black & Clear Rhinestone Designer Fashion Clamp Bracelet ,,Chunky Thick & Heavy Black & Clear Rhinestone Desi,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 22:52:36 PST","Jul-14-24 22:52:36 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777880641",Baby Blue Faceted Handmade Round Beaded Fashion Bracelet + Genuine Stone Charm,,Baby Blue Faceted Handmade Round Beaded Fashion Br,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","1","","Feb-14-24 22:59:55 PST","Jul-14-24 22:59:55 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777892537",Multicolor Natural Gemstone Chip Bead Handmade Fashion Necklace + Heart Pendant,,Multicolor Natural Gemstone Chip Bead Handmade Fas,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","","","Feb-14-24 23:06:22 PST","Jul-14-24 23:06:22 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
